Year,WHITE_Median_Income,BLACK_Median_Income,LATINE_Median_Income,ASIAN_Median_Income,WHITE_Real_Income_2023,BLACK_Real_Income_2023,LATINE_Real_Income_2023,ASIAN_Real_Income_2023
2012,70698,38247,42751,63073,93856.95045482495,50775.78975424609,56755.190937427105,83734.1853523038
2013,73081,40042,43352,64932,95767.24936895906,52472.08165230168,56809.59202314026,85088.58712969514
2014,74048,39774,45045,65694,95611.21544914969,51356.42398544836,58162.37035310809,84824.48125157249
2015,77427,43555,46849,70442,98603.61538461538,55467.478632478626,59662.4017094017,89708.18803418803
2016,80776,43973,50078,70790,101054.81788281932,55012.423328231336,62650.083811228906,88561.83220170323
2017,83133,45676,54013,75236,101602.23983087573,55823.60682899787,66012.79612169765,91950.80312169375
2018,87393,48519,57125,78972,104585.42156750307,58063.91895270424,68362.93761563985,94507.79710078442
2019,92457,52136,61174,86544,108277.17404137518,61056.9101941566,71641.38837305001,101352.40977142642
2021,95193,51841,66929,90448,105780.17463269878,57606.65209767249,74372.70921172667,100507.44524469593
2022,104421,58576,71300,95764,108300.16839939568,60752.05815078386,73948.74600776579,99321.56679786372
2023,107041,60696,75772,100119,107041.0,60696.0,75772.0,100119.0
