Year,TOTAL,WHITE,BLACK,ASIAN,LATINE
2012,9962789,2704343,799140,1366001,4802133
2013,10017068,2703681,801603,1392815,4834936
2014,10116705,2695087,802664,1431071,4897745
2015,10170292,2686804,812731,1455392,4926661
2016,10137915,2667102,793213,1456307,4918830
2017,10163507,2644767,794235,1482797,4939605
2018,10105518,2619709,783932,1473462,4915287
2019,10039107,2596980,777195,1456809,4881970
2020,10014009,2563609,760689,1474237,5209246
2021,9829544,2420466,722464,1434374,4824989
2022,9721138,2380266,712156,1432462,4766616
2023,9663345,2369899,709583,1454666,4695902
