,,Grouped by Substance,Grouped by Substance,Grouped by Substance,Grouped by Substance,Grouped by Substance,Grouped by Substance,Grouped by Substance,Grouped by Substance,Grouped by Substance,Grouped by Substance,Grouped by Substance
,,Missing,Overall,Alcohol,Benzodiazepines,Cocaine,Heroin,Methamphetamine,Others,Prescription Opioids,P-Value,Test
n,,,21686,4738,935,2619,2207,8188,918,2081,,
"Age, mean (SD)",,36,44.3 (13.7),46.1 (12.5),37.1 (14.6),45.9 (14.7),42.6 (14.3),44.0 (12.9),44.1 (15.4),44.9 (14.8),<0.001,One-way ANOVA
"Age_Group, n (%)",0,,35 (0.2),2 (0.0),1 (0.1),2 (0.1),1 (0.0),26 (0.3),1 (0.1),2 (0.1),<0.001,Chi-squared (warning: expected count < 5)
"Age_Group, n (%)",1-9 years,,2 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),1 (0.0),0 (0.0),1 (0.0),,
"Age_Group, n (%)",10-19 years,,277 (1.3),31 (0.7),49 (5.2),39 (1.5),34 (1.5),69 (0.8),24 (2.6),31 (1.5),,
"Age_Group, n (%)",20-29 years,,3388 (15.6),478 (10.1),315 (33.7),447 (17.1),477 (21.6),1136 (13.9),159 (17.3),376 (18.1),,
"Age_Group, n (%)",30-39 years,,4676 (21.6),955 (20.2),219 (23.4),474 (18.1),507 (23.0),1967 (24.0),183 (19.9),371 (17.8),,
"Age_Group, n (%)",40-49 years,,4864 (22.4),1324 (27.9),138 (14.8),424 (16.2),413 (18.7),1932 (23.6),209 (22.8),424 (20.4),,
"Age_Group, n (%)",50-59 years,,5158 (23.8),1268 (26.8),123 (13.2),666 (25.4),419 (19.0),2002 (24.5),188 (20.5),492 (23.6),,
"Age_Group, n (%)",60-69 years,,2838 (13.1),556 (11.7),71 (7.6),513 (19.6),316 (14.3),944 (11.5),114 (12.4),324 (15.6),,
"Age_Group, n (%)",nan,,36 (0.2),3 (0.1),1 (0.1),5 (0.2),0 (0.0),25 (0.3),1 (0.1),1 (0.0),,
"Age_Group, n (%)",≥70 years,,412 (1.9),121 (2.6),18 (1.9),49 (1.9),40 (1.8),86 (1.1),39 (4.2),59 (2.8),,
"Race_Ethnicity_Cleaned, n (%)",ASIAN,,590 (2.7),117 (2.5),27 (2.9),85 (3.2),31 (1.4),239 (2.9),51 (5.6),40 (1.9),<0.001,Chi-squared
"Race_Ethnicity_Cleaned, n (%)",BLACK,,3714 (17.1),537 (11.3),93 (9.9),1118 (42.7),193 (8.7),1437 (17.6),121 (13.2),215 (10.3),,
"Race_Ethnicity_Cleaned, n (%)",LATINE,,7304 (33.7),2198 (46.4),237 (25.3),610 (23.3),707 (32.0),2844 (34.7),184 (20.0),524 (25.2),,
"Race_Ethnicity_Cleaned, n (%)",OTHER,,365 (1.7),56 (1.2),24 (2.6),43 (1.6),51 (2.3),142 (1.7),9 (1.0),40 (1.9),,
"Race_Ethnicity_Cleaned, n (%)",UNKNOWN,,280 (1.3),59 (1.2),12 (1.3),37 (1.4),21 (1.0),121 (1.5),11 (1.2),19 (0.9),,
"Race_Ethnicity_Cleaned, n (%)",WHITE,,9433 (43.5),1771 (37.4),542 (58.0),726 (27.7),1204 (54.6),3405 (41.6),542 (59.0),1243 (59.7),,
"Polysubstance, n (%)",0,,8742 (40.3),3179 (67.1),18 (1.9),795 (30.4),401 (18.2),3484 (42.6),320 (34.9),545 (26.2),<0.001,Chi-squared
"Polysubstance, n (%)",1,,12944 (59.7),1559 (32.9),917 (98.1),1824 (69.6),1806 (81.8),4704 (57.4),598 (65.1),1536 (73.8),,
"Number_Substances, mean (SD)",,0,1.9 (0.9),1.5 (0.8),2.8 (0.8),2.1 (0.9),2.3 (0.8),1.8 (0.8),2.2 (1.1),2.2 (0.9),<0.001,One-way ANOVA
"Fentanyl_Present, n (%)",No,,14633 (67.5),3910 (82.5),422 (45.1),1423 (54.3),1672 (75.8),4723 (57.7),716 (78.0),1767 (84.9),<0.001,Chi-squared
"Fentanyl_Present, n (%)",Yes,,7053 (32.5),828 (17.5),513 (54.9),1196 (45.7),535 (24.2),3465 (42.3),202 (22.0),314 (15.1),,
"Year, mean (SD)",,0,2019.3 (3.1),2018.9 (3.3),2020.0 (2.5),2019.8 (2.9),2018.0 (3.2),2020.2 (2.7),2019.0 (3.0),2017.2 (3.2),<0.001,One-way ANOVA
