Year,Substance,Percentage
2012,Fentanyl,0.946969696969697
2013,Fentanyl,1.44
2014,Fentanyl,1.8867924528301887
2015,Fentanyl,1.46163215590743
2016,Fentanyl,6.659012629161882
2017,Fentanyl,11.39630390143737
2018,Fentanyl,18.21247892074199
2019,Fentanyl,29.399141630901287
2020,Fentanyl,44.96868475991649
2021,Fentanyl,55.471698113207545
2022,Fentanyl,57.26844583987442
2023,Fentanyl,59.91219182708545
2012,Heroin,23.674242424242426
2013,Heroin,24.64
2014,Heroin,20.125786163522015
2015,Heroin,17.53958587088916
2016,Heroin,18.714121699196326
2017,Heroin,19.609856262833674
2018,Heroin,17.706576728499158
2019,Heroin,17.739628040057227
2020,Heroin,12.943632567849686
2021,Heroin,7.409948542024014
2022,Heroin,5.965463108320251
2023,Heroin,4.322863897331983
2012,Methamphetamine,21.21212121212121
2013,Methamphetamine,21.279999999999998
2014,Methamphetamine,27.044025157232703
2015,Methamphetamine,30.694275274056025
2016,Methamphetamine,36.39494833524684
2017,Methamphetamine,36.139630390143736
2018,Methamphetamine,41.14671163575042
2019,Methamphetamine,41.3447782546495
2020,Methamphetamine,46.931106471816285
2021,Methamphetamine,49.81132075471698
2022,Methamphetamine,51.71114599686029
2023,Methamphetamine,52.71867612293144
2012,Cocaine,11.742424242424242
2013,Cocaine,10.08
2014,Cocaine,11.79245283018868
2015,Cocaine,13.15468940316687
2016,Cocaine,12.85878300803674
2017,Cocaine,12.114989733059549
2018,Cocaine,14.75548060708263
2019,Cocaine,15.665236051502147
2020,Cocaine,14.19624217118998
2021,Cocaine,14.271012006861064
2022,Cocaine,14.442700156985872
2023,Cocaine,15.906788247213779
2012,Prescription.opioids,30.113636363636363
2013,Prescription.opioids,28.64
2014,Prescription.opioids,29.245283018867923
2015,Prescription.opioids,25.700365408038977
2016,Prescription.opioids,22.732491389207805
2017,Prescription.opioids,20.2258726899384
2018,Prescription.opioids,17.959527824620576
2019,Prescription.opioids,11.659513590844064
2020,Prescription.opioids,7.515657620041753
2021,Prescription.opioids,4.699828473413379
2022,Prescription.opioids,4.521193092621664
2023,Prescription.opioids,3.850050658561297
2012,Benzodiazepines,1.1363636363636365
2013,Benzodiazepines,1.44
2014,Benzodiazepines,3.6163522012578615
2015,Benzodiazepines,3.6540803897685747
2016,Benzodiazepines,4.936854190585533
2017,Benzodiazepines,5.441478439425051
2018,Benzodiazepines,3.456998313659359
2019,Benzodiazepines,6.795422031473533
2020,Benzodiazepines,6.764091858037578
2021,Benzodiazepines,6.518010291595197
2022,Benzodiazepines,5.400313971742543
2023,Benzodiazepines,3.7487335359675784
2012,Alcohol,37.31060606060606
2013,Alcohol,39.2
2014,Alcohol,36.0062893081761
2015,Alcohol,35.32277710109623
2016,Alcohol,31.687715269804823
2017,Alcohol,30.59548254620123
2018,Alcohol,27.234401349072513
2019,Alcohol,25.17882689556509
2020,Alcohol,23.215031315240083
2021,Alcohol,23.39622641509434
2022,Alcohol,20.439560439560438
2023,Alcohol,21.580547112462007
2012,Others,4.166666666666666
2013,Others,4.8
2014,Others,7.3899371069182385
2015,Others,4.141291108404385
2016,Others,5.510907003444316
2017,Others,8.932238193018481
2018,Others,7.672849915682968
2019,Others,7.296137339055794
2020,Others,4.592901878914405
2021,Others,3.739279588336192
2022,Others,3.9874411302982735
2023,Others,3.7487335359675784
