Year,Mean_Substances,Median_Substances,Polysubstance_Rate,Polysubstance_Pct
2012,1.303030303030303,1.0,0.24431818181818182,24.431818181818183
2013,1.3152,1.0,0.2496,24.959999999999997
2014,1.371069182389937,1.0,0.27672955974842767,27.67295597484277
2015,1.3166869671132766,1.0,0.25334957369062117,25.334957369062117
2016,1.3949483352468428,1.0,0.2904707233065442,29.047072330654423
2017,1.444558521560575,1.0,0.3193018480492813,31.930184804928132
2018,1.4814502529510962,1.0,0.3473861720067454,34.73861720067454
2019,1.5507868383404864,1.0,0.39413447782546496,39.4134477825465
2020,1.6112734864300626,1.0,0.45469728601252607,45.469728601252605
2021,1.6531732418524872,1.0,0.495368782161235,49.5368782161235
2022,1.6373626373626373,1.0,0.4932496075353218,49.32496075353218
2023,1.657885849375211,2.0,0.5200945626477541,52.00945626477541
