Year,Count,Combination,Total,Percentage
2014,2,Fentanyl + Meth,636,0.3144654088050315
2015,2,Fentanyl + Meth,821,0.24360535931790497
2016,8,Fentanyl + Meth,871,0.9184845005740528
2017,26,Fentanyl + Meth,974,2.6694045174537986
2018,66,Fentanyl + Meth,1186,5.564924114671164
2019,127,Fentanyl + Meth,1398,9.084406294706723
2020,451,Fentanyl + Meth,2395,18.83089770354906
2021,818,Fentanyl + Meth,2915,28.06174957118353
2022,961,Fentanyl + Meth,3185,30.172684458398745
2023,1004,Fentanyl + Meth,2961,33.90746369469774
2015,1,Fentanyl + Cocaine,821,0.12180267965895249
2016,12,Fentanyl + Cocaine,871,1.377726750861079
2017,22,Fentanyl + Cocaine,974,2.2587268993839835
2018,43,Fentanyl + Cocaine,1186,3.625632377740304
2019,79,Fentanyl + Cocaine,1398,5.650929899856939
2020,182,Fentanyl + Cocaine,2395,7.599164926931107
2021,261,Fentanyl + Cocaine,2915,8.95368782161235
2022,294,Fentanyl + Cocaine,3185,9.230769230769232
2023,302,Fentanyl + Cocaine,2961,10.199257007767647
2016,9,Fentanyl + Benzos,871,1.0332950631458095
2017,10,Fentanyl + Benzos,974,1.0266940451745379
2018,13,Fentanyl + Benzos,1186,1.0961214165261384
2019,46,Fentanyl + Benzos,1398,3.290414878397711
2020,97,Fentanyl + Benzos,2395,4.050104384133612
2021,142,Fentanyl + Benzos,2915,4.871355060034306
2022,117,Fentanyl + Benzos,3185,3.6734693877551026
2023,79,Fentanyl + Benzos,2961,2.6680175616345827
2015,2,Heroin + Fentanyl,821,0.24360535931790497
2016,7,Heroin + Fentanyl,871,0.8036739380022963
2017,17,Heroin + Fentanyl,974,1.7453798767967144
2018,29,Heroin + Fentanyl,1186,2.4451939291736933
2019,56,Heroin + Fentanyl,1398,4.005722460658083
2020,92,Heroin + Fentanyl,2395,3.8413361169102296
2021,111,Heroin + Fentanyl,2915,3.807890222984563
2022,126,Heroin + Fentanyl,3185,3.9560439560439558
2023,95,Heroin + Fentanyl,2961,3.2083755488010803
2012,22,Meth + Heroin,528,4.166666666666666
2013,23,Meth + Heroin,625,3.6799999999999997
2014,36,Meth + Heroin,636,5.660377358490567
2015,43,Meth + Heroin,821,5.237515225334957
2016,59,Meth + Heroin,871,6.77382319173364
2017,71,Meth + Heroin,974,7.289527720739219
2018,92,Meth + Heroin,1186,7.75716694772344
2019,126,Meth + Heroin,1398,9.012875536480687
2020,183,Meth + Heroin,2395,7.640918580375783
2021,133,Meth + Heroin,2915,4.562607204116638
2022,116,Meth + Heroin,3185,3.642072213500785
2023,77,Meth + Heroin,2961,2.6004728132387704
2012,9,Cocaine + Heroin,528,1.7045454545454544
2013,10,Cocaine + Heroin,625,1.6
2014,15,Cocaine + Heroin,636,2.358490566037736
2015,14,Cocaine + Heroin,821,1.705237515225335
2016,23,Cocaine + Heroin,871,2.640642939150402
2017,18,Cocaine + Heroin,974,1.8480492813141685
2018,30,Cocaine + Heroin,1186,2.5295109612141653
2019,23,Cocaine + Heroin,1398,1.6452074391988556
2020,32,Cocaine + Heroin,2395,1.336116910229645
2021,18,Cocaine + Heroin,2915,0.6174957118353345
2022,19,Cocaine + Heroin,3185,0.5965463108320251
2023,13,Cocaine + Heroin,2961,0.4390408645727794
