Year,Substance,Age
2012,Alcohol,46.558375634517766
2012,Benzodiazepines,38.833333333333336
2012,Cocaine,48.435483870967744
2012,Fentanyl,46.6
2012,Heroin,42.296
2012,Methamphetamine,43.401785714285715
2012,Others,44.0
2012,Prescription.opioids,43.094339622641506
2013,Alcohol,46.70204081632653
2013,Benzodiazepines,45.888888888888886
2013,Cocaine,50.0
2013,Fentanyl,48.666666666666664
2013,Heroin,40.006493506493506
2013,Methamphetamine,43.97744360902256
2013,Others,46.56666666666667
2013,Prescription.opioids,42.74860335195531
2014,Alcohol,47.275109170305676
2014,Benzodiazepines,42.391304347826086
2014,Cocaine,48.48
2014,Fentanyl,36.666666666666664
2014,Heroin,41.2421875
2014,Methamphetamine,44.31395348837209
2014,Others,45.12765957446808
2014,Prescription.opioids,45.123655913978496
2015,Alcohol,48.15862068965517
2015,Benzodiazepines,37.86666666666667
2015,Cocaine,48.5
2015,Fentanyl,31.5
2015,Heroin,39.00694444444444
2015,Methamphetamine,42.932539682539684
2015,Others,46.38235294117647
2015,Prescription.opioids,45.39810426540284
2016,Alcohol,47.73550724637681
2016,Benzodiazepines,38.76744186046512
2016,Cocaine,46.49107142857143
2016,Fentanyl,32.758620689655174
2016,Heroin,39.09815950920245
2016,Methamphetamine,42.36277602523659
2016,Others,46.6875
2016,Prescription.opioids,43.782828282828284
2017,Alcohol,47.57046979865772
2017,Benzodiazepines,38.39622641509434
2017,Cocaine,45.24576271186441
2017,Fentanyl,35.252252252252255
2017,Heroin,42.52356020942408
2017,Methamphetamine,43.60511363636363
2017,Others,44.298850574712645
2017,Prescription.opioids,44.82741116751269
2018,Alcohol,47.1640866873065
2018,Benzodiazepines,39.53658536585366
2018,Cocaine,45.074285714285715
2018,Fentanyl,35.96296296296296
2018,Heroin,42.2047619047619
2018,Methamphetamine,44.08811475409836
2018,Others,45.285714285714285
2018,Prescription.opioids,44.30046948356807
2019,Alcohol,46.51420454545455
2019,Benzodiazepines,36.45263157894737
2019,Cocaine,43.47488584474886
2019,Fentanyl,33.571776155717764
2019,Heroin,41.55241935483871
2019,Methamphetamine,44.40138408304498
2019,Others,40.8921568627451
2019,Prescription.opioids,44.65644171779141
2020,Alcohol,44.73021582733813
2020,Benzodiazepines,35.58641975308642
2020,Cocaine,43.42941176470588
2020,Fentanyl,35.80315691736305
2020,Heroin,43.05161290322581
2020,Methamphetamine,43.89768683274021
2020,Others,44.527272727272724
2020,Prescription.opioids,45.61666666666667
2021,Alcohol,45.1099706744868
2021,Benzodiazepines,34.40526315789474
2021,Cocaine,44.20673076923077
2021,Fentanyl,38.556311881188115
2021,Heroin,45.56481481481482
2021,Methamphetamine,43.88121546961326
2021,Others,41.38532110091743
2021,Prescription.opioids,46.306569343065696
2022,Alcohol,46.22887864823349
2022,Benzodiazepines,39.20348837209303
2022,Cocaine,46.971739130434784
2022,Fentanyl,40.505211190345584
2022,Heroin,47.22105263157895
2022,Methamphetamine,44.358444714459296
2022,Others,45.118110236220474
2022,Prescription.opioids,48.083333333333336
2023,Alcohol,44.210691823899374
2023,Benzodiazepines,37.28181818181818
2023,Cocaine,47.48068669527897
2023,Fentanyl,40.52847380410023
2023,Heroin,46.5
2023,Methamphetamine,44.29201817001947
2023,Others,44.018181818181816
2023,Prescription.opioids,46.52212389380531
