Year,Mean_Age,Median_Age,Std_Age
2012,44.84280303030303,47.0,13.059050868475001
2013,44.9376,47.0,13.26701655253087
2014,45.856918238993714,48.0,13.699357968733764
2015,45.752740560292324,47.0,13.507938331513609
2016,44.47416762342135,47.0,14.559239621562552
2017,44.54312114989733,46.0,13.935532412854071
2018,44.415682967959526,45.0,13.807295457307967
2019,43.358369098712444,43.5,14.195724024792757
2020,42.35198329853862,42.0,14.188730836121497
2021,42.58055650979045,42.0,13.722167826623156
2022,43.81375628140704,43.0,13.484408299694149
2023,43.535787321063395,43.0,13.59353126192262
