Year,Substance,Gender,Deaths
2012,Heroin,MALE,100
2012,Heroin,FEMALE,25
2013,Heroin,MALE,131
2013,Heroin,FEMALE,23
2014,Heroin,MALE,106
2014,Heroin,FEMALE,22
2015,Heroin,MALE,118
2015,Heroin,FEMALE,26
2016,Heroin,MALE,132
2016,Heroin,FEMALE,31
2017,Heroin,MALE,152
2017,Heroin,FEMALE,39
2018,Heroin,MALE,172
2018,Heroin,FEMALE,38
2019,Heroin,MALE,207
2019,Heroin,FEMALE,41
2020,Heroin,MALE,249
2020,Heroin,FEMALE,61
2021,Heroin,MALE,178
2021,Heroin,FEMALE,38
2022,Heroin,MALE,154
2022,Heroin,FEMALE,35
2023,Heroin,MALE,96
2023,Heroin,FEMALE,32
2012,Fentanyl,MALE,4
2012,Fentanyl,FEMALE,1
2013,Fentanyl,MALE,4
2013,Fentanyl,FEMALE,5
2014,Fentanyl,MALE,10
2014,Fentanyl,FEMALE,2
2015,Fentanyl,MALE,10
2015,Fentanyl,FEMALE,2
2016,Fentanyl,MALE,50
2016,Fentanyl,FEMALE,8
2017,Fentanyl,MALE,97
2017,Fentanyl,FEMALE,14
2018,Fentanyl,MALE,182
2018,Fentanyl,FEMALE,34
2019,Fentanyl,MALE,337
2019,Fentanyl,FEMALE,73
2020,Fentanyl,MALE,878
2020,Fentanyl,FEMALE,199
2021,Fentanyl,MALE,1274
2021,Fentanyl,FEMALE,333
2022,Fentanyl,MALE,1484
2022,Fentanyl,FEMALE,338
2023,Fentanyl,MALE,1431
2023,Fentanyl,FEMALE,341
2012,Prescription.opioids,MALE,121
2012,Prescription.opioids,FEMALE,38
2013,Prescription.opioids,MALE,135
2013,Prescription.opioids,FEMALE,44
2014,Prescription.opioids,MALE,141
2014,Prescription.opioids,FEMALE,45
2015,Prescription.opioids,MALE,150
2015,Prescription.opioids,FEMALE,61
2016,Prescription.opioids,MALE,143
2016,Prescription.opioids,FEMALE,55
2017,Prescription.opioids,MALE,134
2017,Prescription.opioids,FEMALE,63
2018,Prescription.opioids,MALE,142
