Year,Race,Deaths,Total,Percentage
2012,ASIAN,16,528,3.0303030303030303
2012,BLACK,67,528,12.68939393939394
2012,LATINE,171,528,32.38636363636363
2012,OTHER,15,528,2.840909090909091
2012,WHITE,259,528,49.053030303030305
2013,ASIAN,15,625,2.4
2013,BLACK,77,625,12.32
2013,LATINE,187,625,29.92
2013,OTHER,15,625,2.4
2013,WHITE,331,625,52.959999999999994
2014,ASIAN,21,636,3.30188679245283
2014,BLACK,70,636,11.0062893081761
2014,LATINE,194,636,30.50314465408805
2014,OTHER,15,636,2.358490566037736
2014,WHITE,336,636,52.83018867924528
2015,ASIAN,23,821,2.8014616321559074
2015,BLACK,117,821,14.250913520097441
2015,LATINE,243,821,29.598051157125454
2015,OTHER,17,821,2.0706455542021924
2015,WHITE,421,821,51.278928136419
2016,ASIAN,22,871,2.525832376578645
2016,BLACK,113,871,12.973593570608497
2016,LATINE,273,871,31.343283582089555
2016,OTHER,20,871,2.2962112514351323
2016,WHITE,443,871,50.86107921928817
2017,ASIAN,32,974,3.285420944558522
2017,BLACK,133,974,13.655030800821354
2017,LATINE,309,974,31.724845995893226
2017,OTHER,29,974,2.97741273100616
2017,WHITE,471,974,48.35728952772074
2018,ASIAN,44,1186,3.709949409780776
2018,BLACK,176,1186,14.839797639123104
2018,LATINE,370,1186,31.197301854974707
2018,OTHER,26,1186,2.1922428330522767
2018,WHITE,570,1186,48.06070826306914
2019,ASIAN,32,1398,2.28898426323319
2019,BLACK,217,1398,15.52217453505007
2019,LATINE,484,1398,34.620886981402
2019,OTHER,30,1398,2.1459227467811157
2019,WHITE,635,1398,45.42203147353362
2020,ASIAN,79,2395,3.298538622129436
2020,BLACK,435,2395,18.16283924843424
2020,LATINE,874,2395,36.49269311064718
2020,OTHER,74,2395,3.089770354906054
2020,WHITE,933,2395,38.95615866388309
2021,ASIAN,72,2915,2.469982847341338
2021,BLACK,536,2915,18.387650085763294
2021,LATINE,1082,2915,37.11835334476844
2021,OTHER,79,2915,2.710120068610635
2021,WHITE,1146,2915,39.313893653516296
2022,ASIAN,95,3185,2.9827315541601256
2022,BLACK,630,3185,19.78021978021978
2022,LATINE,1208,3185,37.927786499215074
2022,OTHER,116,3185,3.642072213500785
2022,WHITE,1136,3185,35.66718995290424
2023,ASIAN,87,2961,2.9381965552178317
2023,BLACK,606,2961,20.466058763931105
2023,LATINE,1144,2961,38.6355960824046
2023,OTHER,117,2961,3.951367781155015
2023,WHITE,1007,2961,34.00878081729146
