Year,Substance,Count,Percentage
2012,Heroin,18,24.0
2012,Fentanyl,1,1.3333333333333335
2012,Prescription.opioids,14,18.666666666666668
2012,Methamphetamine,16,21.333333333333336
2012,Cocaine,7,9.333333333333334
2012,Benzodiazepines,1,1.3333333333333335
2012,Alcohol,42,56.00000000000001
2012,Others,1,1.3333333333333335
2013,Heroin,22,25.581395348837212
2013,Fentanyl,0,0.0
2013,Prescription.opioids,19,22.093023255813954
2013,Methamphetamine,17,19.767441860465116
2013,Cocaine,6,6.976744186046512
2013,Benzodiazepines,0,0.0
2013,Alcohol,44,51.162790697674424
2013,Others,1,1.1627906976744187
2014,Heroin,21,21.649484536082475
2014,Fentanyl,1,1.0309278350515463
2014,Prescription.opioids,24,24.742268041237114
2014,Methamphetamine,32,32.98969072164948
2014,Cocaine,14,14.432989690721648
2014,Benzodiazepines,1,1.0309278350515463
2014,Alcohol,43,44.329896907216494
2014,Others,2,2.0618556701030926
2015,Heroin,23,16.666666666666664
2015,Fentanyl,0,0.0
2015,Prescription.opioids,20,14.492753623188406
2015,Methamphetamine,47,34.05797101449276
2015,Cocaine,24,17.391304347826086
2015,Benzodiazepines,1,0.7246376811594203
2015,Alcohol,58,42.028985507246375
2015,Others,3,2.1739130434782608
2016,Heroin,32,21.91780821917808
2016,Fentanyl,2,1.36986301369863
2016,Prescription.opioids,25,17.123287671232877
2016,Methamphetamine,72,49.31506849315068
2016,Cocaine,15,10.273972602739725
2016,Benzodiazepines,1,0.684931506849315
2016,Alcohol,54,36.986301369863014
2016,Others,1,0.684931506849315
2017,Heroin,58,27.102803738317753
2017,Fentanyl,7,3.2710280373831773
2017,Prescription.opioids,37,17.289719626168225
2017,Methamphetamine,113,52.80373831775701
2017,Cocaine,21,9.813084112149532
2017,Benzodiazepines,3,1.4018691588785046
2017,Alcohol,67,31.308411214953267
2017,Others,7,3.2710280373831773
2018,Heroin,51,19.54022988505747
2018,Fentanyl,29,11.11111111111111
2018,Prescription.opioids,31,11.877394636015326
2018,Methamphetamine,156,59.77011494252874
2018,Cocaine,39,14.942528735632186
2018,Benzodiazepines,2,0.7662835249042145
2018,Alcohol,56,21.455938697318008
2018,Others,6,2.2988505747126435
2019,Heroin,52,16.883116883116884
2019,Fentanyl,49,15.909090909090908
2019,Prescription.opioids,23,7.467532467532467
2019,Methamphetamine,190,61.68831168831169
2019,Cocaine,45,14.61038961038961
2019,Benzodiazepines,6,1.948051948051948
2019,Alcohol,74,24.025974025974026
2019,Others,5,1.6233766233766231
2020,Heroin,85,14.938488576449913
2020,Fentanyl,242,42.53075571177504
2020,Prescription.opioids,21,3.690685413005272
2020,Methamphetamine,401,70.47451669595782
2020,Cocaine,61,10.720562390158172
2020,Benzodiazepines,8,1.4059753954305798
2020,Alcohol,109,19.15641476274165
2020,Others,8,1.4059753954305798
2021,Heroin,51,6.854838709677419
2021,Fentanyl,434,58.333333333333336
2021,Prescription.opioids,18,2.4193548387096775
2021,Methamphetamine,551,74.05913978494624
2021,Cocaine,97,13.03763440860215
2021,Benzodiazepines,17,2.28494623655914
2021,Alcohol,127,17.06989247311828
2021,Others,9,1.2096774193548387
2022,Heroin,55,5.958829902491875
2022,Fentanyl,592,64.13867822318527
2022,Prescription.opioids,16,1.7334777898158178
2022,Methamphetamine,661,71.61430119176599
2022,Cocaine,92,9.967497291440953
2022,Benzodiazepines,24,2.600216684723727
2022,Alcohol,139,15.059588299024917
2022,Others,20,2.1668472372697725
2023,Heroin,33,4.58970792767733
2023,Fentanyl,486,67.59388038942976
2023,Prescription.opioids,8,1.1126564673157162
2023,Methamphetamine,543,75.52155771905424
2023,Cocaine,84,11.68289290681502
2023,Benzodiazepines,4,0.5563282336578581
2023,Alcohol,99,13.76912378303199
2023,Others,9,1.2517385257301807
