Substance,Housing_Status,Count,Total,Percentage
Heroin,Housed,1706,14215,12.001406964474146
Heroin,Homeless,501,4280,11.705607476635514
Fentanyl,Housed,5283,14215,37.16496658459374
Fentanyl,Homeless,1843,4280,43.0607476635514
Prescription.opioids,Housed,1825,14215,12.83855082659163
Prescription.opioids,Homeless,256,4280,5.981308411214954
Methamphetamine,Housed,5389,14215,37.91065775589166
Methamphetamine,Homeless,2799,4280,65.39719626168224
Cocaine,Housed,2114,14215,14.871614491734084
Cocaine,Homeless,505,4280,11.799065420560748
Benzodiazepines,Housed,867,14215,6.0991909954273655
Benzodiazepines,Homeless,68,4280,1.588785046728972
Alcohol,Housed,3826,14215,26.915230390432644
Alcohol,Homeless,912,4280,21.30841121495327
Others,Housed,846,14215,5.951459725641928
Others,Homeless,72,4280,1.6822429906542056
