Year,mean,median,std
2012,22.96232067605226,21.17742732138163,14.914352578095732
2013,22.295143847905784,21.461422950454306,15.319837895648904
2014,22.46035821094049,20.14153657842474,16.12906517583526
2015,22.3408206093196,20.035977080518954,16.431866258090164
2016,22.87064545740869,20.105897186634962,16.50559350455486
2017,22.461259650812913,20.06315211186504,16.304991099579524
2018,21.401792676971912,18.728681063640984,15.738893844624668
2019,20.48779695442266,17.51869645347488,15.840817583181126
2020,20.93389491715255,18.325844665922688,16.077447399385704
2021,20.710595460461604,18.424316862397536,15.87006997300906
2022,19.842953566459446,17.78743765135753,15.746694577488078
2023,20.005336540619016,18.066681191424006,16.009219091500643
