Substance,Race,n,Median_Age,Mean_Age,Q25,Q75
Fentanyl,WHITE,2816,37.0,39.18678977272727,29.0,49.0
Fentanyl,LATINE,2556,34.0,36.25352112676056,27.0,45.0
Fentanyl,BLACK,1308,41.0,42.89908256880734,31.0,55.0
Fentanyl,ASIAN,175,34.0,36.04571428571428,28.0,44.0
Methamphetamine,WHITE,3396,47.0,45.532391048292105,35.0,56.0
Methamphetamine,LATINE,2836,42.0,42.10119887165021,32.0,51.0
Methamphetamine,BLACK,1431,44.0,44.9769392033543,34.0,56.0
Methamphetamine,ASIAN,239,41.0,41.24267782426778,33.0,49.0
Heroin,WHITE,1204,38.0,40.13455149501661,29.0,51.0
Heroin,LATINE,707,45.0,44.85572842998585,33.5,56.0
Heroin,BLACK,193,60.0,53.38860103626943,43.0,64.0
Heroin,ASIAN,31,34.0,35.74193548387097,27.0,43.0
Cocaine,WHITE,724,40.0,41.90745856353591,30.0,54.0
Cocaine,LATINE,610,34.0,37.62622950819672,27.0,48.75
Cocaine,BLACK,1115,56.0,53.82421524663677,48.0,62.0
Cocaine,ASIAN,85,38.0,39.37647058823529,29.0,48.0
