Year,Race,Count,Percentage
2012,WHITE,259,50.487329434697855
2012,LATINE,171,33.33333333333333
2012,BLACK,67,13.060428849902534
2012,ASIAN,16,3.1189083820662766
2013,WHITE,331,54.26229508196722
2013,LATINE,187,30.655737704918035
2013,BLACK,77,12.622950819672132
2013,ASIAN,15,2.459016393442623
2014,WHITE,336,54.106280193236714
2014,LATINE,194,31.239935587761675
2014,BLACK,70,11.272141706924316
2014,ASIAN,21,3.3816425120772946
2015,WHITE,421,52.363184079601986
2015,LATINE,243,30.223880597014922
2015,BLACK,117,14.55223880597015
2015,ASIAN,23,2.8606965174129355
2016,WHITE,443,52.05640423031728
2016,LATINE,273,32.07990599294947
2016,BLACK,113,13.278495887191538
2016,ASIAN,22,2.5851938895417157
2017,WHITE,471,49.84126984126984
2017,LATINE,309,32.698412698412696
2017,BLACK,133,14.074074074074074
2017,ASIAN,32,3.3862433862433865
2018,WHITE,570,49.137931034482754
2018,LATINE,370,31.896551724137932
2018,BLACK,176,15.172413793103448
2018,ASIAN,44,3.793103448275862
2019,WHITE,635,46.41812865497076
2019,LATINE,484,35.38011695906433
2019,BLACK,217,15.862573099415206
2019,ASIAN,32,2.3391812865497075
2020,WHITE,933,40.19819043515726
2020,LATINE,874,37.656182679879365
2020,BLACK,435,18.741921585523478
2020,ASIAN,79,3.4037052994398964
2021,WHITE,1146,40.40902679830747
2021,LATINE,1082,38.15232722143865
2021,BLACK,536,18.899858956276447
2021,ASIAN,72,2.538787023977433
2022,WHITE,1136,37.01531443466927
2022,LATINE,1208,39.36135549038775
2022,BLACK,630,20.527859237536656
2022,ASIAN,95,3.0954708374063213
2023,WHITE,1007,35.40787623066104
2023,LATINE,1144,40.225035161744024
2023,BLACK,606,21.308016877637133
2023,ASIAN,87,3.059071729957806
