Year,Race,Period,Deaths,Population,Rate_Per_100k,Period_Cat
2017,WHITE,Pre-COVID (2017-2019),471,2644767,17.81,Pre-COVID (2017-2019)
2017,BLACK,Pre-COVID (2017-2019),133,794235,16.75,Pre-COVID (2017-2019)
2017,LATINE,Pre-COVID (2017-2019),309,4939605,6.26,Pre-COVID (2017-2019)
2017,ASIAN,Pre-COVID (2017-2019),32,1482797,2.16,Pre-COVID (2017-2019)
2018,WHITE,Pre-COVID (2017-2019),570,2619709,21.76,Pre-COVID (2017-2019)
2018,BLACK,Pre-COVID (2017-2019),176,783932,22.45,Pre-COVID (2017-2019)
2018,LATINE,Pre-COVID (2017-2019),370,4915287,7.53,Pre-COVID (2017-2019)
2018,ASIAN,Pre-COVID (2017-2019),44,1473462,2.99,Pre-COVID (2017-2019)
2019,WHITE,Pre-COVID (2017-2019),635,2596980,24.45,Pre-COVID (2017-2019)
2019,BLACK,Pre-COVID (2017-2019),217,777195,27.92,Pre-COVID (2017-2019)
2019,LATINE,Pre-COVID (2017-2019),484,4881970,9.91,Pre-COVID (2017-2019)
2019,ASIAN,Pre-COVID (2017-2019),32,1456809,2.2,Pre-COVID (2017-2019)
2020,WHITE,COVID Shock (2020),933,2563609,36.39,COVID Shock (2020)
2020,BLACK,COVID Shock (2020),435,760689,57.18,COVID Shock (2020)
2020,LATINE,COVID Shock (2020),874,5209246,16.78,COVID Shock (2020)
2020,ASIAN,COVID Shock (2020),79,1474237,5.36,COVID Shock (2020)
2021,WHITE,COVID Continuation (2021-2022),1146,2420466,47.35,COVID Continuation (2021-2022)
2021,BLACK,COVID Continuation (2021-2022),536,722464,74.19,COVID Continuation (2021-2022)
2021,LATINE,COVID Continuation (2021-2022),1082,4824989,22.42,COVID Continuation (2021-2022)
2021,ASIAN,COVID Continuation (2021-2022),72,1434374,5.02,COVID Continuation (2021-2022)
2022,WHITE,COVID Continuation (2021-2022),1136,2380266,47.73,COVID Continuation (2021-2022)
2022,BLACK,COVID Continuation (2021-2022),630,712156,88.46,COVID Continuation (2021-2022)
2022,LATINE,COVID Continuation (2021-2022),1208,4766616,25.34,COVID Continuation (2021-2022)
2022,ASIAN,COVID Continuation (2021-2022),95,1432462,6.63,COVID Continuation (2021-2022)
2023,WHITE,Post-COVID (2023),1007,2369899,42.49,Post-COVID (2023)
2023,BLACK,Post-COVID (2023),606,709583,85.4,Post-COVID (2023)
2023,LATINE,Post-COVID (2023),1144,4695902,24.36,Post-COVID (2023)
2023,ASIAN,Post-COVID (2023),87,1454666,5.98,Post-COVID (2023)
