Year,Race,Real_Income,Income_YoY_Change,Rolling_Volatility
2012,WHITE,93856.95045482495,,
2013,WHITE,95767.24936895906,2.0353302604409373,
2014,WHITE,95611.21544914968,-0.16293035545820178,1060.7414227625754
2015,WHITE,98603.61538461538,3.1297582834904913,1684.4275057457266
2016,WHITE,101054.81788281932,2.48591543894483,2726.281304782241
2017,WHITE,101602.23983087573,0.5417079160848992,1596.8621859825594
2018,WHITE,104585.42156750309,2.9361377678219336,1900.1844840814895
2019,WHITE,108277.17404137518,3.5298920428305625,3343.7293629664696
2021,WHITE,105780.17463269878,-2.3061180075887866,1883.7673804580595
2022,WHITE,108300.16839939568,2.3822930671528075,1448.3268146165503
2023,WHITE,107041.0,-1.1626652275849136,1259.996974140526
2012,BLACK,50775.78975424609,,
2013,BLACK,52472.08165230168,3.34074941279221,
2014,BLACK,51356.42398544836,-2.1261928852871814,862.0938022687798
2015,BLACK,55467.47863247863,8.004947245149152,2125.945491984328
2016,BLACK,55012.423328231336,-0.8204001974967068,2253.670222667247
2017,BLACK,55823.60682899787,1.4745460237710617,406.59588745980193
2018,BLACK,58063.91895270424,4.01319844948218,1580.540130763253
2019,BLACK,61056.9101941566,5.154649040982373,2625.657349275221
2021,BLACK,57606.65209767249,-5.650888794589393,1874.0050907292687
2022,BLACK,60752.05815078386,5.460143817728391,1910.0957628546776
2023,BLACK,60696.0,-0.09227366527192471,1800.0366763316422
2012,LATINE,56755.19093742711,,
2013,LATINE,56809.59202314026,0.09585217636414178,
2014,LATINE,58162.37035310809,2.381249859032253,797.1953541503664
2015,LATINE,59662.4017094017,2.579040962716639,1427.0380972444111
2016,LATINE,62650.083811228906,5.0076463840315055,2284.582766197561
2017,LATINE,66012.79612169765,5.36745061762558,3177.0423251895863
2018,LATINE,68362.93761563985,3.560130205073575,2871.3439859845957
2019,LATINE,71641.38837305001,4.795655177726199,2827.025973890099
2021,LATINE,74372.70921172667,3.8124900992345,3009.0338297002827
2022,LATINE,73948.74600776579,-0.5700521178459872,1469.9068891477114
2023,LATINE,75772.0,2.4655644492507456,954.1151772416662
2012,ASIAN,83734.1853523038,,
2013,ASIAN,85088.58712969514,1.617501587544945,
2014,ASIAN,84824.48125157249,-0.31038930957930644,717.9718236604439
2015,ASIAN,89708.18803418803,5.757426052664494,2746.5449923560045
2016,ASIAN,88561.83220170323,-1.277872017711379,2553.8374967122
2017,ASIAN,91950.80312169377,3.8266720953469058,1723.783533486775
2018,ASIAN,94507.79710078442,2.780828325889173,2982.6677289174067
2019,ASIAN,101352.40977142642,7.242378809594752,4861.020956145506
2021,ASIAN,100507.44524469592,-0.8336896267548966,3731.810675648053
2022,ASIAN,99321.56679786372,-1.1798911453226646,1020.1793898918706
2023,ASIAN,100119.0,0.8028802080410014,604.5793455859985
