Year,Race,ASR_Ratio,Crude_Ratio
2012,BLACK,0.77,0.87
2012,LATINE,0.32,0.37
2012,ASIAN,0.13,0.12
2013,BLACK,0.66,0.79
2013,LATINE,0.32,0.32
2013,ASIAN,0.12,0.09
2014,BLACK,0.6,0.7
2014,LATINE,0.32,0.32
2014,ASIAN,0.16,0.12
2015,BLACK,0.91,0.92
2015,LATINE,0.28,0.31
2015,ASIAN,0.11,0.1
2016,BLACK,0.82,0.86
2016,LATINE,0.35,0.33
2016,ASIAN,0.11,0.09
2017,BLACK,0.8,0.94
2017,LATINE,0.35,0.35
2017,ASIAN,0.16,0.12
2018,BLACK,0.91,1.03
2018,LATINE,0.33,0.35
2018,ASIAN,0.15,0.14
2019,BLACK,1.05,1.14
2019,LATINE,0.46,0.41
2019,ASIAN,0.12,0.09
2020,BLACK,1.46,1.57
2020,LATINE,0.53,0.46
2020,ASIAN,0.14,0.15
2021,BLACK,1.5,1.57
2021,LATINE,0.55,0.47
2021,ASIAN,0.11,0.11
2022,BLACK,1.78,1.86
2022,LATINE,0.6,0.53
2022,ASIAN,0.13,0.14
2023,BLACK,2.14,1.99
2023,LATINE,0.63,0.57
2023,ASIAN,0.16,0.14
