Year,Race,Deaths,Total_Deaths,Proportion_of_Deaths,Population,Total_Population,Rate_per_100k,Proportion_of_Population,Disparity_Ratio
2012,ASIAN,16,513,3.1189083820662766,1366001,9962789,1.1713022172018908,13.711030114157793,0.22747440244083053
2012,BLACK,67,513,13.060428849902534,799140,9962789,8.384012813774808,8.02124786543206,1.6282290572501892
2012,LATINE,171,513,33.33333333333333,4802133,9962789,3.560917617233842,48.200689586018534,0.6915530383408094
2012,WHITE,259,513,50.487329434697855,2704343,9962789,9.577187509128835,27.144437165135184,1.8599512352219523
2013,ASIAN,15,610,2.459016393442623,1392815,10017068,1.0769556617354064,13.904417939460927,0.17685144420636992
2013,BLACK,77,610,12.622950819672132,801603,10017068,9.605752473481262,8.002371552234646,1.5774012412791805
2013,LATINE,187,610,30.655737704918035,4834936,10017068,3.867683046890383,48.26697792208259,0.635128591527019
2013,WHITE,331,610,54.26229508196722,2703681,10017068,12.242568557459258,26.99074220121097,2.0104039628644474
2014,ASIAN,21,621,3.3816425120772946,1431071,10116705,1.4674324334711555,14.14562350093237,0.23905927595587448
2014,BLACK,70,621,11.272141706924316,802664,10116705,8.720959205844537,7.934045719431376,1.4207306216193796
2014,LATINE,194,621,31.239935587761675,4897745,10116705,3.9610065448487006,48.412452473409076,0.6452871935153556
2014,WHITE,336,621,54.106280193236714,2695087,10116705,12.46713000359543,26.639968250532164,2.031018944332108
2015,ASIAN,23,804,2.8606965174129355,1455392,10170292,1.580330247795783,14.31022826089949,0.19990572234471976
2015,BLACK,117,804,14.55223880597015,812731,10170292,14.395907132864378,7.991225817311834,1.8210271038073822
2015,LATINE,243,804,30.223880597014922,4926661,10170292,4.932346674553009,48.44168682669092,0.6239229592715555
2015,WHITE,421,804,52.363184079601986,2686804,10170292,15.669174230796141,26.418159871909282,1.9820905140058727
2016,ASIAN,22,851,2.5851938895417157,1456307,10137915,1.5106704836274218,14.364955713280295,0.17996532263247586
2016,BLACK,113,851,13.278495887191538,793213,10137915,14.245858300355641,7.824222238990957,1.697101064054641
2016,LATINE,273,851,32.07990599294947,4918830,10137915,5.550100328736712,48.51914816804047,0.6611803216710321
2016,WHITE,443,851,52.05640423031728,2667102,10137915,16.609788452035204,26.308190589485115,1.9787147296676206
2017,ASIAN,32,945,3.3862433862433865,1482797,10163507,2.1580836756481165,14.589422725836663,0.2321026300956123
2017,BLACK,133,945,14.074074074074074,794235,10163507,16.74567350972949,7.814576208783051,1.8010028564640235
2017,LATINE,309,945,32.698412698412696,4939605,10163507,6.255560920356992,48.60138336107802,0.6727876952695738
2017,WHITE,471,945,49.84126984126984,2644767,10163507,17.808752150945622,26.022188994409113,1.9153373243111207
2018,ASIAN,44,1160,3.793103448275862,1473462,10105518,2.9861645566699377,14.580766666290634,0.26014430757232826
2018,BLACK,176,1160,15.172413793103448,783932,10105518,22.450926866105736,7.7574647831016685,1.9558469445009918
2018,LATINE,370,1160,31.896551724137932,4915287,10105518,7.5275360319753455,48.63963430672233,0.6557728522997882
2018,WHITE,570,1160,49.137931034482754,2619709,10105518,21.75814183941804,25.923549886309637,1.895493913834415
2019,ASIAN,32,1368,2.3391812865497075,1456809,10039107,2.1965817070048304,14.511340500703898,0.16119677478701855
2019,BLACK,217,1368,15.862573099415206,777195,10039107,27.920920747045464,7.741674633012677,2.048984728933548
2019,LATINE,484,1368,35.38011695906433,4881970,10039107,9.914030606496969,48.62952451846564,0.7275439624261547
2019,WHITE,635,1368,46.41812865497076,2596980,10039107,24.45147825551217,25.868635527044386,1.79437870259693
2020,ASIAN,79,2321,3.4037052994398964,1474237,10014009,5.358704197493347,14.721746305600483,0.23120255089201275
2020,BLACK,435,2321,18.741921585523478,760689,10014009,57.18499938871207,7.5962484155945935,2.467260226383271
2020,LATINE,874,2321,37.656182679879365,5209246,10014009,16.77785998203963,52.01958576230559,0.7238847085777022
2020,WHITE,933,2321,40.19819043515726,2563609,10014009,36.394005482115254,25.600226642496526,1.5702279122962148
2021,ASIAN,72,2836,2.538787023977433,1434374,9829544,5.019611342648431,14.59247753507182,0.17397916274845496
2021,BLACK,536,2836,18.899858956276447,722464,9829544,74.19054790273287,7.349923862185265,2.5714360190198184
2021,LATINE,1082,2836,38.15232722143865,4824989,9829544,22.42492159049482,49.08660055847962,0.7772452520109973
2021,WHITE,1146,2836,40.40902679830747,2420466,9829544,47.3462548120899,24.624397632280807,1.6410158494733758
2022,ASIAN,95,3069,3.0954708374063213,1432462,9721138,6.63193857847538,14.735538164358946,0.21006839403350605
2022,BLACK,630,3069,20.527859237536656,712156,9721138,88.46376355742281,7.325850121662711,2.802112914764021
2022,LATINE,1208,3069,39.36135549038775,4766616,9721138,25.342926722018305,49.03351850369782,0.802743851380344
2022,WHITE,1136,3069,37.01531443466927,2380266,9721138,47.72575838162626,24.48546661923738,1.5117259152246512
2023,ASIAN,87,2844,3.059071729957806,1454666,9663345,5.9807543449836595,15.053441639515095,0.2032141089867304
2023,BLACK,606,2844,21.308016877637133,709583,9663345,85.40227147493668,7.343037012545863,2.9017989206961046
2023,LATINE,1144,2844,40.225035161744024,4695902,9663345,24.361666832059104,48.594994797350196,0.8277608698074689
2023,WHITE,1007,2844,35.40787623066104,2369899,9663345,42.491262285861126,24.52462371984028,1.4437683788810292
