Year,Race_Ethnicity_Cleaned,Age_Group_Std,Deaths,Race,Population,Rate_Per_100k
2012,WHITE,<25,26,WHITE,221468.15880409465,11.739836615971042
2012,WHITE,25-34,38,WHITE,583111.600660781,6.51676282154882
2012,WHITE,35-44,58,WHITE,586187.5473108379,9.894444238209706
2012,WHITE,45-54,80,WHITE,630422.5896116558,12.68990060290836
2012,WHITE,55-64,46,WHITE,518370.247359584,8.873966095529136
2012,WHITE,65+,11,WHITE,164782.85625304663,6.6754517127121495
2012,LATINE,<25,12,LATINE,393263.55933488597,3.0513887481197637
2012,LATINE,25-34,26,LATINE,1035437.9826138765,2.51101470455673
2012,LATINE,35-44,35,LATINE,1040899.9764935275,3.3624748573733525
2012,LATINE,45-54,58,LATINE,1119448.6503818447,5.181121972876215
2012,LATINE,55-64,36,LATINE,920476.0161945513,3.911019881738131
2012,LATINE,65+,4,LATINE,292606.814981314,1.367022159157654
2012,BLACK,<25,4,BLACK,65444.38498618859,6.112059882362958
2012,BLACK,25-34,7,BLACK,172310.91046958783,4.062424126785326
2012,BLACK,35-44,6,BLACK,173219.86026106265,3.46380605027466
2012,BLACK,45-54,16,BLACK,186291.42392893898,8.588693812391071
2012,BLACK,55-64,27,BLACK,153179.6815252126,17.626358620908828
2012,BLACK,65+,7,BLACK,48693.73882900937,14.375564843317678
2012,ASIAN,<25,2,ASIAN,111866.62579212477,1.7878433230984219
2012,ASIAN,25-34,2,ASIAN,294537.72306775715,0.6790301694360246
2012,ASIAN,35-44,6,ASIAN,296091.42620375886,2.0264011278296956
2012,ASIAN,45-54,3,ASIAN,318435.15701673616,0.9421070299226815
2012,ASIAN,55-64,3,ASIAN,261835.97134810162,1.145755483692348
2012,ASIAN,65+,0,ASIAN,83234.09657152143,0.0
2012,OTHER,<25,1,,,0.0
2012,OTHER,25-34,2,,,0.0
2012,OTHER,35-44,4,,,0.0
2012,OTHER,45-54,2,,,0.0
2012,OTHER,55-64,0,,,0.0
2012,OTHER,65+,1,,,0.0
2012,UNKNOWN,<25,1,,,0.0
2012,UNKNOWN,25-34,0,,,0.0
2012,UNKNOWN,35-44,0,,,0.0
2012,UNKNOWN,45-54,3,,,0.0
2012,UNKNOWN,55-64,1,,,0.0
2012,UNKNOWN,65+,0,,,0.0
2013,WHITE,<25,29,WHITE,221413.94529599737,13.097639338493938
2013,WHITE,25-34,55,WHITE,582968.8599360884,9.434466191904267
2013,WHITE,35-44,68,WHITE,586044.053620755,11.603223269628916
2013,WHITE,45-54,96,WHITE,630268.2675621514,15.231609290964872
2013,WHITE,55-64,65,WHITE,518243.35476358124,12.54237018237359
2013,WHITE,65+,18,WHITE,164742.51882142664,10.926141064718802
2013,LATINE,<25,18,LATINE,395949.91236527107,4.546029545119502
2013,LATINE,25-34,28,LATINE,1042510.9795807832,2.685823031931944
2013,LATINE,35-44,38,LATINE,1048010.2839191897,3.625918617696515
2013,LATINE,45-54,64,LATINE,1127095.517738179,5.678311996877891
2013,LATINE,55-64,31,LATINE,926763.7168390836,3.344973420596548
2013,LATINE,65+,8,LATINE,294605.58955749334,2.7154949816180496
2013,BLACK,<25,4,BLACK,65646.08871797648,6.093280008173042
2013,BLACK,25-34,2,BLACK,172841.98358879922,1.157126271333539
2013,BLACK,35-44,12,BLACK,173753.73482099333,6.906326366085187
2013,BLACK,45-54,27,BLACK,186865.58587445162,14.448888420867577
2013,BLACK,55-64,27,BLACK,153651.79098738017,17.572199989662067
2013,BLACK,65+,5,BLACK,48843.816010399176,10.23671041373071
2013,ASIAN,<25,3,ASIAN,114062.51855061474,2.630136558547726
2013,ASIAN,25-34,2,ASIAN,300319.36927909876,0.6659577118854829
2013,ASIAN,35-44,5,ASIAN,301903.57092563505,1.656157952908613
2013,ASIAN,45-54,4,ASIAN,324685.8993663002,1.231959875007485
2013,ASIAN,55-64,1,ASIAN,266975.6965281915,0.37456592978470016
2013,ASIAN,65+,0,ASIAN,84867.94535015977,0.0
2013,OTHER,<25,2,,,0.0
2013,OTHER,25-34,1,,,0.0
2013,OTHER,35-44,5,,,0.0
2013,OTHER,45-54,2,,,0.0
2013,OTHER,55-64,1,,,0.0
2013,OTHER,65+,0,,,0.0
2013,UNKNOWN,<25,0,,,0.0
2013,UNKNOWN,25-34,0,,,0.0
