Period,Race,Rate,Baseline,Pct_Change,Abs_Change
COVID Shock (2020),WHITE,36.39,21.34,70.5,15.0
COVID Shock (2020),BLACK,57.18,22.373333333333335,155.6,34.8
COVID Shock (2020),LATINE,16.78,7.8999999999999995,112.4,8.9
COVID Shock (2020),ASIAN,5.36,2.45,118.8,2.9
COVID Continuation (2021-2022),WHITE,47.54,21.34,122.8,26.2
COVID Continuation (2021-2022),BLACK,81.32499999999999,22.373333333333335,263.5,59.0
COVID Continuation (2021-2022),LATINE,23.880000000000003,7.8999999999999995,202.3,16.0
COVID Continuation (2021-2022),ASIAN,5.824999999999999,2.45,137.8,3.4
Post-COVID (2023),WHITE,42.49,21.34,99.1,21.2
Post-COVID (2023),BLACK,85.4,22.373333333333335,281.7,63.0
Post-COVID (2023),LATINE,24.36,7.8999999999999995,208.4,16.5
Post-COVID (2023),ASIAN,5.98,2.45,144.1,3.5
