Age_Group_Custom,Poverty_Level,Deaths,Population,Rate_Approx
<25,Low (<10%),304,12908824.0,2.3549782691281558
<25,Medium (10-15%),458,36112338.0,1.2682646025300273
<25,High (>15%),714,57217688.0,1.247865869728955
25-34,Low (<10%),698,12908824.0,5.407154052142937
25-34,Medium (10-15%),1143,36112338.0,3.1651232329515744
25-34,High (>15%),1527,57217688.0,2.6687551583699083
35-44,Low (<10%),605,12908824.0,4.686716621126758
35-44,Medium (10-15%),1184,36112338.0,3.278657837108193
35-44,High (>15%),1608,57217688.0,2.810319773843361
45-54,Low (<10%),795,12908824.0,6.158578039331855
45-54,Medium (10-15%),1188,36112338.0,3.2897343838551802
45-54,High (>15%),1714,57217688.0,2.9955771718703486
55-64,Low (<10%),675,12908824.0,5.228981354149688
55-64,Medium (10-15%),885,36112338.0,2.4506859677709043
55-64,High (>15%),1317,57217688.0,2.3017357849202154
65+,Low (<10%),177,12908824.0,1.371155110643696
65+,Medium (10-15%),228,36112338.0,0.6313631645782668
65+,High (>15%),372,57217688.0,0.6501486043965985
