Year,Deaths,National_Unemployment,CA_Unemployment
2012,528,8.075,10.391666666666667
2013,625,7.358333333333333,9.025
2014,636,6.158333333333334,7.566666666666666
2015,821,5.2749999999999995,6.216666666666666
2016,871,4.875,5.516666666666667
2017,974,4.358333333333333,4.833333333333333
2018,1186,3.891666666666666,4.258333333333334
2019,1398,3.6750000000000003,4.091666666666667
2020,2395,8.1,10.166666666666666
2021,2915,5.358333333333333,7.3500000000000005
2022,3185,3.641666666666667,4.291666666666667
2023,2961,3.6333333333333333,4.7250000000000005
