Year,Race,Deaths,CA_Unemployment
2012,AMERICAN INDIAN,2,10.391666666666667
2012,ASIAN,16,10.391666666666667
2012,BLACK,67,10.391666666666667
2012,LATINE,171,10.391666666666667
2012,MIDDLE EASTERN,7,10.391666666666667
2012,PACIFIC ISLANDER,1,10.391666666666667
2012,WHITE,259,10.391666666666667
2013,ASIAN,15,9.025
2013,BLACK,77,9.025
2013,LATINE,187,9.025
2013,MIDDLE EASTERN,9,9.025
2013,PACIFIC ISLANDER,2,9.025
2013,WHITE,331,9.025
2014,AMERICAN INDIAN,2,7.566666666666666
2014,ASIAN,21,7.566666666666666
2014,BLACK,70,7.566666666666666
2014,LATINE,194,7.566666666666666
2014,MIDDLE EASTERN,6,7.566666666666666
2014,PACIFIC ISLANDER,2,7.566666666666666
2014,WHITE,336,7.566666666666666
2015,AMERICAN INDIAN,2,6.216666666666666
2015,ASIAN,23,6.216666666666666
2015,BLACK,117,6.216666666666666
2015,LATINE,243,6.216666666666666
2015,MIDDLE EASTERN,4,6.216666666666666
2015,PACIFIC ISLANDER,2,6.216666666666666
2015,WHITE,421,6.216666666666666
2016,AMERICAN INDIAN,2,5.516666666666667
2016,ASIAN,22,5.516666666666667
2016,BLACK,113,5.516666666666667
2016,LATINE,273,5.516666666666667
2016,MIDDLE EASTERN,10,5.516666666666667
2016,PACIFIC ISLANDER,1,5.516666666666667
2016,WHITE,443,5.516666666666667
2017,AMERICAN INDIAN,4,4.833333333333333
2017,ASIAN,32,4.833333333333333
2017,BLACK,133,4.833333333333333
2017,LATINE,309,4.833333333333333
2017,MIDDLE EASTERN,11,4.833333333333333
2017,PACIFIC ISLANDER,1,4.833333333333333
2017,WHITE,471,4.833333333333333
2018,AMERICAN INDIAN,2,4.258333333333334
2018,ASIAN,44,4.258333333333334
2018,BLACK,176,4.258333333333334
2018,LATINE,370,4.258333333333334
2018,MIDDLE EASTERN,7,4.258333333333334
2018,PACIFIC ISLANDER,3,4.258333333333334
2018,WHITE,570,4.258333333333334
2019,AMERICAN INDIAN,7,4.091666666666667
2019,ASIAN,32,4.091666666666667
2019,BLACK,217,4.091666666666667
2019,LATINE,484,4.091666666666667
2019,MIDDLE EASTERN,12,4.091666666666667
2019,PACIFIC ISLANDER,4,4.091666666666667
2019,WHITE,635,4.091666666666667
2020,AMERICAN INDIAN,5,10.166666666666666
2020,ASIAN,79,10.166666666666666
2020,BLACK,435,10.166666666666666
2020,LATINE,874,10.166666666666666
2020,MIDDLE EASTERN,42,10.166666666666666
2020,PACIFIC ISLANDER,6,10.166666666666666
2020,WHITE,933,10.166666666666666
2021,AMERICAN INDIAN,8,7.3500000000000005
2021,ASIAN,72,7.3500000000000005
2021,BLACK,536,7.3500000000000005
2021,LATINE,1082,7.3500000000000005
2021,MIDDLE EASTERN,42,7.3500000000000005
2021,PACIFIC ISLANDER,3,7.3500000000000005
2021,WHITE,1146,7.3500000000000005
2022,AMERICAN INDIAN,8,4.291666666666667
2022,ASIAN,95,4.291666666666667
2022,BLACK,630,4.291666666666667
2022,LATINE,1208,4.291666666666667
2022,MIDDLE EASTERN,55,4.291666666666667
2022,PACIFIC ISLANDER,10,4.291666666666667
2022,WHITE,1136,4.291666666666667
2023,AMERICAN INDIAN,7,4.7250000000000005
2023,ASIAN,87,4.7250000000000005
2023,BLACK,606,4.7250000000000005
2023,LATINE,1144,4.7250000000000005
2023,MIDDLE EASTERN,14,4.7250000000000005
2023,PACIFIC ISLANDER,6,4.7250000000000005
2023,UNKNOWN,26,4.7250000000000005
2023,WHITE,1007,4.7250000000000005
