Period,Race,Deaths
Pandemic,AMERICAN INDIAN,6.5
Pandemic,ASIAN,75.5
Pandemic,BLACK,485.5
Pandemic,LATINE,978.0
Pandemic,MIDDLE EASTERN,42.0
Pandemic,PACIFIC ISLANDER,4.5
Pandemic,WHITE,1039.5
Post-Pandemic,AMERICAN INDIAN,7.5
Post-Pandemic,ASIAN,91.0
Post-Pandemic,BLACK,618.0
Post-Pandemic,LATINE,1176.0
Post-Pandemic,MIDDLE EASTERN,34.5
Post-Pandemic,PACIFIC ISLANDER,8.0
Post-Pandemic,UNKNOWN,26.0
Post-Pandemic,WHITE,1071.5
Pre-Pandemic,AMERICAN INDIAN,3.0
Pre-Pandemic,ASIAN,25.625
Pre-Pandemic,BLACK,121.25
Pre-Pandemic,LATINE,278.875
Pre-Pandemic,MIDDLE EASTERN,8.25
Pre-Pandemic,PACIFIC ISLANDER,2.0
Pre-Pandemic,WHITE,433.25
