Year,Deaths,Real_Earnings,Deaths_Index,Earnings_Index
2012,528,334.5,100.0,100.0
2013,625,333.5,118.37121212121211,99.70104633781763
2014,636,334.25,120.45454545454545,99.9252615844544
2015,821,341.25,155.49242424242425,102.01793721973094
2016,871,346.75,164.96212121212122,103.66218236173393
2017,974,350.75,184.46969696969697,104.8579970104634
2018,1186,352.75,224.62121212121212,105.4559043348281
2019,1398,358.75,264.7727272727273,107.24962630792227
2020,2395,380.0,453.5984848484849,113.60239162929746
2021,2915,368.25,552.0833333333333,110.08968609865471
2022,3185,361.5,603.219696969697,108.07174887892377
2023,2961,366.25,560.7954545454546,109.49177877429
