Year,Deaths,Mortgage_Rate,Home_Price_Index
2012,528,3.6574999999999998,140.98308333333333
2013,625,3.9755769230769227,154.51166666666668
2014,636,4.168867924528302,164.68525
2015,821,3.8505769230769227,172.162
2016,871,3.6540384615384616,180.90441666666666
2017,974,3.9898076923076924,191.36791666666667
2018,1186,4.544615384615384,202.44216666666668
2019,1398,3.935769230769231,209.41966666666667
2020,2395,3.111698113207547,222.096
2021,2915,2.957692307692308,259.9728333333333
2022,3185,5.344038461538461,298.32683333333335
2023,2961,6.806730769230769,305.8109166666666
