Year,BLACK,WHITE,Black_White_Ratio,Gini_Index
2012,8.384012813774808,9.577187509128835,0.875414917561475,41.2
2013,9.605752473481262,12.242568557459258,0.7846190469261115,40.9
2014,8.720959205844537,12.46713000359543,0.6995161840238672,41.7
2015,14.395907132864378,15.66917423079614,0.9187406381997281,41.5
2016,14.24585830035564,16.609788452035204,0.8576784913001158,41.3
2017,16.74567350972949,17.808752150945622,0.9403058320871918,41.4
2018,22.450926866105736,21.75814183941804,1.0318402661312105,41.8
2019,27.920920747045464,24.45147825551217,1.1418909096324745,41.9
2020,57.18499938871207,36.39400548211525,1.5712752314887115,40.0
2021,74.19054790273287,47.3462548120899,1.566978173821433,39.7
2022,88.46376355742281,47.72575838162626,1.8535852872163077,41.7
2023,85.40227147493668,42.491262285861126,2.0098784286611817,41.8
