Year,Deaths,Manufacturing,Construction
2012,528,11907.666666666666,5645.5
2013,625,11996.833333333334,5857.083333333333
2014,636,12160.0,6150.833333333333
2015,821,12307.75,6460.0
2016,871,12323.5,6726.666666666667
2017,974,12406.416666666666,6967.083333333333
2018,1186,12652.916666666666,7288.333333333333
2019,1398,12778.833333333334,7493.083333333333
2020,2395,12125.0,7255.416666666667
2021,2915,12311.833333333334,7437.0
2022,3185,12768.166666666666,7763.416666666667
2023,2961,12872.833333333334,8007.333333333333
