Year,Deaths,Population,Rate_per_100k,Median_Gross_Rent,Rent_Detrended,Rate_Detrended
2012,528,19634406,2.689156982900323,1175,67.27503337783855,2.4122612631362528
2013,625,19750103,3.1645404583459644,1205,29.8090787717083,1.5094464091948616
2014,636,19943272,3.1890454083963755,1239,-3.656875834451057,0.15575302985824013
2015,821,20051880,4.094379180406027,1279,-31.12283044058131,-0.31711152751914096
2016,871,19973367,4.360807068733078,1330,-47.58878504674067,-1.4288819685791223
2017,974,20024911,4.8639417173939,1402,-43.05473965287092,-2.3039456493053327
2018,1186,19897908,5.960425588458847,1479,-33.520694259001175,-2.585660107627419
2019,1398,19752061,7.077742418879731,1577,-2.9866488651605323,-2.8465416065935676
2021,2915,19231837,15.157158413936223,1711,-3.918558077450143,2.4764777296888596
2022,3185,19012638,16.75201515960068,1805,22.615487316419603,2.6931361459662853
2023,2961,18893395,15.672143624795861,1896,46.14953271028935,0.2350662817744329
