DeathZip,Year,Deaths
90001,2012,4
90001,2013,9
90001,2014,1
90001,2015,1
90001,2016,1
90001,2017,6
90001,2018,5
90001,2019,7
90001,2020,15
90001,2021,23
90001,2022,28
90001,2023,11
90002,2012,1
90002,2013,3
90002,2014,3
90002,2015,1
90002,2016,2
90002,2017,4
90002,2018,3
90002,2019,4
90002,2020,11
90002,2021,8
90002,2022,11
90002,2023,4
90003,2012,3
90003,2013,1
90003,2014,5
90003,2015,7
90003,2016,10
90003,2017,11
90003,2018,16
90003,2019,12
90003,2020,24
90003,2021,23
90003,2022,35
90003,2023,24
90004,2012,2
90004,2013,2
90004,2014,2
90004,2015,7
90004,2016,3
90004,2017,6
90004,2018,7
90004,2019,10
90004,2020,25
90004,2021,23
90004,2022,23
90004,2023,12
90005,2012,1
90005,2013,2
90005,2014,3
90005,2015,1
90005,2016,1
90005,2017,3
90005,2018,7
90005,2019,9
90005,2020,9
90005,2021,9
90005,2022,18
90005,2023,11
90006,2012,2
90006,2013,4
90006,2014,2
90006,2015,11
90006,2016,3
90006,2017,7
90006,2018,4
90006,2019,7
90006,2020,14
90006,2021,16
90006,2022,28
90006,2023,16
90007,2012,2
90007,2013,2
90007,2015,3
90007,2016,1
90007,2017,3
90007,2018,2
90007,2019,7
90007,2020,4
90007,2021,7
90007,2022,9
90007,2023,10
90008,2012,4
90008,2013,1
90008,2015,4
90008,2016,4
90008,2017,4
90008,2018,2
90008,2019,4
90008,2020,5
90008,2021,6
90008,2022,8
90008,2023,2
90010,2017,1
90010,2018,4
90010,2019,1
90010,2020,4
90010,2021,6
90010,2022,5
90010,2023,5
90011,2012,6
90011,2013,9
90011,2014,3
90011,2015,8
90011,2016,11
90011,2017,11
90011,2018,18
90011,2019,11
90011,2020,30
90011,2021,18
90011,2022,44
90011,2023,19
90012,2012,2
90012,2013,7
90012,2014,5
90012,2015,7
90012,2016,6
90012,2017,4
90012,2018,13
90012,2019,16
90012,2020,37
90012,2021,49
90012,2022,49
90012,2023,26
90013,2012,7
90013,2013,6
90013,2014,7
90013,2015,8
90013,2016,8
90013,2017,9
90013,2018,19
90013,2019,20
90013,2020,49
90013,2021,77
90013,2022,74
90013,2023,50
90014,2012,10
90014,2013,6
90014,2014,9
90014,2015,10
90014,2016,9
90014,2017,11
90014,2018,19
90014,2019,27
90014,2020,26
90014,2021,60
90014,2022,67
90014,2023,49
90015,2012,4
90015,2013,7
90015,2014,5
90015,2015,4
90015,2016,15
90015,2017,16
90015,2018,12
90015,2019,17
