Year,Race,Cocaine+Fentanyl_%
2012,WHITE,0.0
2013,WHITE,0.0
2014,WHITE,0.0
2015,WHITE,0.0
2016,WHITE,1.3544018058690745
2017,WHITE,1.48619957537155
2018,WHITE,2.982456140350877
2019,WHITE,4.724409448818897
2020,WHITE,4.930332261521972
2021,WHITE,7.329842931937172
2022,WHITE,6.161971830985916
2023,WHITE,7.547169811320755
2012,BLACK,0.0
2013,BLACK,0.0
2014,BLACK,0.0
2015,BLACK,0.0
2016,BLACK,1.7699115044247788
2017,BLACK,4.511278195488721
2018,BLACK,6.25
2019,BLACK,6.912442396313365
2020,BLACK,11.954022988505747
2021,BLACK,16.417910447761194
2022,BLACK,17.3015873015873
2023,BLACK,21.61716171617162
2012,LATINE,0.0
2013,LATINE,0.0
2014,LATINE,0.0
2015,LATINE,0.411522633744856
2016,LATINE,0.7326007326007326
2017,LATINE,1.9417475728155338
2018,LATINE,2.7027027027027026
2019,LATINE,4.958677685950414
2020,LATINE,7.665903890160183
2021,LATINE,6.1922365988909425
2022,LATINE,6.705298013245033
2023,LATINE,5.769230769230769
2012,ASIAN,0.0
2013,ASIAN,0.0
2014,ASIAN,0.0
2015,ASIAN,0.0
2016,ASIAN,0.0
2017,ASIAN,3.125
2018,ASIAN,2.272727272727273
2019,ASIAN,9.375
2020,ASIAN,6.329113924050633
2021,ASIAN,6.944444444444445
2022,ASIAN,6.315789473684211
2023,ASIAN,8.045977011494253
