Year,Race,Fentanyl_Prevalence_%
2012,WHITE,1.1583011583011582
2013,WHITE,2.1148036253776437
2014,WHITE,1.488095238095238
2015,WHITE,2.375296912114014
2016,WHITE,7.900677200902935
2017,WHITE,11.252653927813164
2018,WHITE,22.807017543859647
2019,WHITE,29.92125984251969
2020,WHITE,46.51661307609861
2021,WHITE,58.20244328097731
2022,WHITE,58.71478873239436
2023,WHITE,61.8669314796425
2012,BLACK,0.0
2013,BLACK,0.0
2014,BLACK,1.4285714285714286
2015,BLACK,0.0
2016,BLACK,5.3097345132743365
2017,BLACK,11.278195488721805
2018,BLACK,9.659090909090908
2019,BLACK,26.72811059907834
2020,BLACK,43.9080459770115
2021,BLACK,52.42537313432835
2022,BLACK,57.77777777777777
2023,BLACK,62.70627062706271
2012,LATINE,1.1695906432748537
2013,LATINE,1.06951871657754
2014,LATINE,1.0309278350515463
2015,LATINE,0.823045267489712
2016,LATINE,4.395604395604396
2017,LATINE,11.650485436893204
2018,LATINE,15.135135135135137
2019,LATINE,28.305785123966942
2020,LATINE,43.36384439359268
2021,LATINE,54.4362292051756
2022,LATINE,56.37417218543046
2023,LATINE,57.95454545454546
2012,ASIAN,0.0
2013,ASIAN,0.0
2014,ASIAN,14.285714285714285
2015,ASIAN,0.0
2016,ASIAN,18.181818181818183
2017,ASIAN,6.25
2018,ASIAN,18.181818181818183
2019,ASIAN,34.375
2020,ASIAN,46.835443037974684
2021,ASIAN,41.66666666666667
2022,ASIAN,43.15789473684211
2023,ASIAN,45.97701149425287
