Year,Race,Heroin_%
2012,WHITE,26.254826254826252
2013,WHITE,28.09667673716012
2014,WHITE,22.916666666666664
2015,WHITE,21.140142517814727
2016,WHITE,22.34762979683973
2017,WHITE,23.35456475583864
2018,WHITE,21.228070175438596
2019,WHITE,20.787401574803148
2020,WHITE,16.077170418006432
2021,WHITE,9.860383944153577
2022,WHITE,8.362676056338028
2023,WHITE,5.660377358490567
2012,BLACK,11.940298507462686
2013,BLACK,14.285714285714285
2014,BLACK,12.857142857142856
2015,BLACK,6.837606837606838
2016,BLACK,9.734513274336283
2017,BLACK,12.781954887218044
2018,BLACK,10.795454545454545
2019,BLACK,10.599078341013826
2020,BLACK,7.816091954022989
2021,BLACK,3.731343283582089
2022,BLACK,3.015873015873016
2023,BLACK,2.31023102310231
2012,LATINE,27.485380116959064
2013,LATINE,22.459893048128343
2014,LATINE,19.072164948453608
2015,LATINE,15.22633744855967
2016,LATINE,15.018315018315018
2017,LATINE,16.181229773462782
2018,LATINE,17.83783783783784
2019,LATINE,17.355371900826448
2020,LATINE,12.814645308924485
2021,LATINE,6.7467652495378925
2022,LATINE,5.629139072847682
2023,LATINE,4.370629370629371
2012,ASIAN,6.25
2013,ASIAN,20.0
2014,ASIAN,9.523809523809524
2015,ASIAN,13.043478260869565
2016,ASIAN,18.181818181818183
2017,ASIAN,12.5
2018,ASIAN,6.8181818181818175
2019,ASIAN,3.125
2020,ASIAN,5.063291139240507
2021,ASIAN,2.7777777777777777
2022,ASIAN,2.1052631578947367
2023,ASIAN,2.2988505747126435
